NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Adempas;riociguat;riociguat;Chronic thromboembolic pulmonary hypertension (CTEPH) Adempas is indicated for the treatment of adult patients with WHO Functional Class (FC) II to III with  inoperable CTEPH, persistent or recurrent CTEPH after surgical treatment, to improve exercise capacity.  Pulmonary arterial hypertension (PAH) AdultsAdempas, as monotherapy or in combination with endothelin receptor antagonists, is indicated for the treatment of adult patients with pulmonary arterial hypertension (PAH) with WHO Functional Class (FC) II to III to improve exercise capacity. Efficacy has been shown in a PAH population including aetiologies of idiopathic or heritable PAH or PAH associated with connective tissue disease. PaediatricsAdempas is indicated for the treatment of PAH in paediatric patients aged less than 18 years of age and body weight ? 50 kg with WHO Functional Class (FC) II to III in combination with endothelin receptor antagonists. ;https://www.ema.europa.eu/en/medicines/human/EPAR/adempas
Xofigo;radium Ra223 dichloride;radium (223Ra) dichloride;Xofigo is indicated for the treatment of adults with castration-resistant prostate cancer, symptomatic bone metastases and no known visceral metastases.;https://www.ema.europa.eu/en/medicines/human/EPAR/xofigo
Dasatinib Accord Healthcare;dasatinib;Dasatinib monohydrate;"Dasatinib Accord Healthcare is indicated for the treatment of adult patients with:  newly diagnosed Philadelphia chromosome positive (Ph+) chronic myelogenous leukaemia (CML) in the chronic phase. chronic, accelerated or blast phase CML with resistance or intolerance to prior therapy including imatinib. Ph+ acute lymphoblastic leukaemia (ALL) and lymphoid blast CML with resistance or intolerance to prior therapy.  &nbsp;Dasatinib Accord Healthcare is indicated for the treatment of paediatric patients with:  newly diagnosed Ph+ CML in chronic phase (Ph+ CML-CP) or Ph+ CML-CP resistant or intolerant to prior therapy including imatinib. newly diagnosed Ph+ ALL in combination with chemotherapy.";https://www.ema.europa.eu/en/medicines/human/EPAR/dasatinib-accord-healthcare
Mozobil;plerixafor;Plerixafor;Mozobil is indicated in combination with granulocyte-colony-stimulating factor to enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma whose cells mobilise poorly.;https://www.ema.europa.eu/en/medicines/human/EPAR/mozobil
Taxotere;docetaxel;docetaxel;"Breast cancer Taxotere in combination with doxorubicin and cyclophosphamide is indicated for the adjuvant treatment of patients with:  operable node-positive breast cancer; operable node-negative breast cancer.  For patients with operable node-negative breast cancer, adjuvant treatment should be restricted to patients eligible to receive chemotherapy according to internationally established criteria for primary therapy of early breast cancer. Taxotere in combination with doxorubicin is indicated for the treatment of patients with locally advanced or metastatic breast cancer who have not previously received cytotoxic therapy for this condition. Taxotere monotherapy is indicated for the treatment of patients with locally advanced ormetastatic breast cancer after failure of cytotoxic therapy. Previous chemotherapy should have included an anthracycline or an alkylating agent. Taxotere in combination with trastuzumab is indicated for the treatment of patients with metastatic breast cancer whose tumours overexpress HER2 and who previously have not received chemotherapy for metastatic disease. Taxotere in combination with capecitabine is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Non-small-cell lung cancer Taxotere is indicated for the treatment of patients with locally advanced or metastatic non-small-cell lung cancer after failure of prior chemotherapy. Taxotere in combination with cisplatin is indicated for the treatment of patients with unresectable, locally advanced or metastatic non-small-cell lung cancer, in patients who have not previously received chemotherapy for this condition. Prostate cancer Taxotere in combination with prednisone or prednisolone is indicated for the treatment of patients with hormone refractory metastatic prostate cancer. Gastric adenocarcinoma Taxotere in combination with cisplatin and 5-fluorouracil is indicated for the treatment of patients with metastatic gastric adenocarcinoma, including adenocarcinoma of the gastroesophageal junction, who have not received prior chemotherapy for metastatic disease. Head and neck cancer Taxotere in combination with cisplatin and 5-fluorouracil is indicated for the induction treatment of patients with locally advanced squamous cell carcinoma of the head and neck.";https://www.ema.europa.eu/en/medicines/human/EPAR/taxotere
Flucelvax Tetra;influenza vaccine (surface antigen, inactivated, prepared in cell cultures);A/Wisconsin/67/2022 (H1N1)pdm09-like strain (A/Georgia/12/2022, CVR-167)  A/Massachusetts/18/2022 (H3N2)-like strain (A/Sydney/1304/2022, wild type)  B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021, wild type)  B/Phuket/3073/2013-like strain (B/Singapore/INFTT-16-0610/2016, wild type);Prophylaxis of influenza in adults and children from 2 years of age. Flucelvax Tetra should be used in accordance with official recommendations.;https://www.ema.europa.eu/en/medicines/human/EPAR/flucelvax-tetra
Aprovel;irbesartan;irbesartan;Treatment of essential hypertension. Treatment of renal disease in patients with hypertension and type-2 diabetes mellitus as part of an antihypertensive medicinal-product regimen.;https://www.ema.europa.eu/en/medicines/human/EPAR/aprovel
CoAprovel;"irbesartan;hydrochlorothiazide";"irbesartan;hydrochlorothiazide";Treatment of essential hypertension. This fixed dose combination is indicated in adult patients whose blood pressure is not adequately controlled on irbesartan or hydrochlorothiazide alone.;https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel
Ventavis;iloprost;iloprost;Treatment of patients with primary pulmonary hypertension, classified as New York Heart Association functional class III, to improve exercise capacity and symptoms.;https://www.ema.europa.eu/en/medicines/human/EPAR/ventavis
Xenpozyme;olipudase alfa;Olipudase alfa;Xenpozyme is indicated as an enzyme replacement therapy for the treatment of non-Central Nervous System (CNS) manifestations of Acid Sphingomyelinase Deficiency (ASMD) in paediatric and adult patients with type A/B or type B.;https://www.ema.europa.eu/en/medicines/human/EPAR/xenpozyme
Docetaxel Accord;docetaxel;docetaxel;"Breast cancer Docetaxel Accord in combination with doxorubicin and cyclophosphamide is indicated for the adjuvant treatment of patients with:  operable node-positive breast cancer; operable node-negative breast cancer.  For patients with operable node-negative breast cancer, adjuvant treatment should be restricted to patients eligible to receive chemotherapy according to internationally established criteria for primary therapy of early breast cancer. Docetaxel Accord in combination with doxorubicin is indicated for the treatment of patients with locally advanced or metastatic breast cancer who have not previously received cytotoxic therapy for this condition. Docetaxel Accord monotherapy is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic therapy. Previous chemotherapy should have included an anthracycline or an alkylating agent. Docetaxel Accord in combination with trastuzumab is indicated for the treatment of patients with metastatic breast cancer whose tumours overexpress HER2 and who previously have not received chemotherapy for metastatic disease. Docetaxel Accord in combination with capecitabine is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Non-small-cell lung cancer Docetaxel Accord is indicated for the treatment of patients with locally advanced or metastatic non-small-cell lung cancer after failure of prior chemotherapy. Docetaxel Accord in combination with cisplatin is indicated for the treatment of patients with unresectable, locally advanced or metastatic non-small-cell lung cancer, in patients who have not previously received chemotherapy for this condition. Prostate cancer Docetaxel Accord in combination with prednisone or prednisolone is indicated for the treatment of patients with hormone refractory metastatic prostate cancer. Gastric adenocarcinoma Docetaxel Accord in combination with cisplatin and 5-fluorouracil is indicated for the treatment of patients with metastatic gastric adenocarcinoma, including adenocarcinoma of the gastroesophageal junction, who have not received prior chemotherapy for metastatic disease. Head and neck cancer Docetaxel Accord in combination with cisplatin and 5-fluorouracil is indicated for the induction treatment of patients with locally advanced squamous cell carcinoma of the head and neck.";https://www.ema.europa.eu/en/medicines/human/EPAR/docetaxel-accord
